Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
Combiner;Combiner1;[Resource];Run;Capacity;ScheduledUtilization;Percent;0
Combiner;Combiner1;[Resource];Run;Capacity;UnitsAllocated;Total;15
Combiner;Combiner1;[Resource];Run;Capacity;UnitsScheduled;Average;1
Combiner;Combiner1;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Combiner;Combiner1;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Combiner;Combiner1;[Resource];Run;Capacity;UnitsUtilized;Average;0
Combiner;Combiner1;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Combiner;Combiner1;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Combiner;Combiner1;[Resource];Run;ResourceState;TimeStarved;Average;24
Combiner;Combiner1;[Resource];Run;ResourceState;TimeStarved;Occurrences;1
Combiner;Combiner1;[Resource];Run;ResourceState;TimeStarved;Percent;100
Combiner;Combiner1;[Resource];Run;ResourceState;TimeStarved;Total;24
Combiner;Combiner1;MemberInputBuffer;Run;Content;NumberInStation;Average;0.0377908414544184
Combiner;Combiner1;MemberInputBuffer;Run;Content;NumberInStation;Maximum;6
Combiner;Combiner1;MemberInputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Combiner1;MemberInputBuffer;Run;HoldingTime;TimeInStation;Average;0.00647842996361458
Combiner;Combiner1;MemberInputBuffer;Run;HoldingTime;TimeInStation;Maximum;0.0329682061898043
Combiner;Combiner1;MemberInputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Combiner;Combiner1;MemberInputBuffer;Run;Throughput;NumberEntered;Total;140
Combiner;Combiner1;MemberInputBuffer;Run;Throughput;NumberExited;Total;140
Combiner;Combiner1;OutputBuffer;Run;Content;NumberInStation;Average;4.69219219219307E-05
Combiner;Combiner1;OutputBuffer;Run;Content;NumberInStation;Maximum;1
Combiner;Combiner1;OutputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Combiner1;OutputBuffer;Run;HoldingTime;TimeInStation;Average;7.50750750750891E-05
Combiner;Combiner1;OutputBuffer;Run;HoldingTime;TimeInStation;Maximum;7.50750750750928E-05
Combiner;Combiner1;OutputBuffer;Run;HoldingTime;TimeInStation;Minimum;7.50750750750651E-05
Combiner;Combiner1;OutputBuffer;Run;Throughput;NumberEntered;Total;15
Combiner;Combiner1;OutputBuffer;Run;Throughput;NumberExited;Total;15
Combiner;Combiner1;ParentInputBuffer;Run;Content;NumberInStation;Average;0.977643642664507
Combiner;Combiner1;ParentInputBuffer;Run;Content;NumberInStation;Maximum;2
Combiner;Combiner1;ParentInputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Combiner1;ParentInputBuffer;Run;HoldingTime;TimeInStation;Average;0.0686775573911742
Combiner;Combiner1;ParentInputBuffer;Run;HoldingTime;TimeInStation;Maximum;0.083751941658905
Combiner;Combiner1;ParentInputBuffer;Run;HoldingTime;TimeInStation;Minimum;0.0109532637390405
Combiner;Combiner1;ParentInputBuffer;Run;Throughput;NumberEntered;Total;16
Combiner;Combiner1;ParentInputBuffer;Run;Throughput;NumberExited;Total;15
Combiner;Combiner1;Processing;Run;Throughput;NumberEntered;Total;15
Combiner;Combiner1;Processing;Run;Throughput;NumberExited;Total;15
Combiner;Combiner2;[Object];Run;Costs;TotalCost;Total;4320
Combiner;Combiner2;[Resource];Run;Capacity;ScheduledUtilization;Percent;0
Combiner;Combiner2;[Resource];Run;Capacity;UnitsAllocated;Total;15
Combiner;Combiner2;[Resource];Run;Capacity;UnitsScheduled;Average;1
Combiner;Combiner2;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Combiner;Combiner2;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Combiner;Combiner2;[Resource];Run;Capacity;UnitsUtilized;Average;0
Combiner;Combiner2;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Combiner;Combiner2;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Combiner;Combiner2;[Resource];Run;Costs;IdleCost;Total;4320
Combiner;Combiner2;[Resource];Run;ResourceState;TimeStarved;Average;24
Combiner;Combiner2;[Resource];Run;ResourceState;TimeStarved;Occurrences;1
Combiner;Combiner2;[Resource];Run;ResourceState;TimeStarved;Percent;100
Combiner;Combiner2;[Resource];Run;ResourceState;TimeStarved;Total;24
Combiner;Combiner2;MemberInputBuffer;Run;Content;NumberInStation;Average;0.33153935185188
Combiner;Combiner2;MemberInputBuffer;Run;Content;NumberInStation;Maximum;1
Combiner;Combiner2;MemberInputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Combiner2;MemberInputBuffer;Run;HoldingTime;TimeInStation;Average;0.530462962963008
Combiner;Combiner2;MemberInputBuffer;Run;HoldingTime;TimeInStation;Maximum;1.22222222222241
Combiner;Combiner2;MemberInputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Combiner;Combiner2;MemberInputBuffer;Run;Throughput;NumberEntered;Total;15
Combiner;Combiner2;MemberInputBuffer;Run;Throughput;NumberExited;Total;15
Combiner;Combiner2;OutputBuffer;Run;Throughput;NumberEntered;Total;15
Combiner;Combiner2;OutputBuffer;Run;Throughput;NumberExited;Total;15
Combiner;Combiner2;ParentInputBuffer;Run;Content;NumberInStation;Average;0.999259259259259
Combiner;Combiner2;ParentInputBuffer;Run;Content;NumberInStation;Maximum;1
Combiner;Combiner2;ParentInputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Combiner2;ParentInputBuffer;Run;HoldingTime;TimeInStation;Average;0.56797640372297
Combiner;Combiner2;ParentInputBuffer;Run;HoldingTime;TimeInStation;Maximum;1.27471872975353
Combiner;Combiner2;ParentInputBuffer;Run;HoldingTime;TimeInStation;Minimum;0.054590831889626
Combiner;Combiner2;ParentInputBuffer;Run;Throughput;NumberEntered;Total;16
Combiner;Combiner2;ParentInputBuffer;Run;Throughput;NumberExited;Total;15
Combiner;Combiner2;Processing;Run;Throughput;NumberEntered;Total;15
Combiner;Combiner2;Processing;Run;Throughput;NumberExited;Total;15
Combiner;Empaquetador;[Object];Run;Costs;TotalCost;Total;960
Combiner;Empaquetador;[Resource];Run;Capacity;ScheduledUtilization;Percent;1.35352951266314
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsAllocated;Total;140
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsScheduled;Average;1
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsUtilized;Average;0.0135352951266314
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Combiner;Empaquetador;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Combiner;Empaquetador;[Resource];Run;Costs;IdleCost;Total;947.006116678434
Combiner;Empaquetador;[Resource];Run;Costs;UsageCostCharged;Total;12.9938833215661
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeProcessing;Average;0.00232033630742252
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeProcessing;Occurrences;140
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeProcessing;Percent;1.35352951266314
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeProcessing;Total;0.324847083039153
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeStarved;Average;0.167908885935893
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeStarved;Occurrences;141
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeStarved;Percent;98.6464704873369
Combiner;Empaquetador;[Resource];Run;ResourceState;TimeStarved;Total;23.6751529169608
Combiner;Empaquetador;MemberInputBuffer;Run;Content;NumberInStation;Average;0.0853092812540612
Combiner;Empaquetador;MemberInputBuffer;Run;Content;NumberInStation;Maximum;22
Combiner;Empaquetador;MemberInputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Empaquetador;MemberInputBuffer;Run;HoldingTime;TimeInStation;Average;0.00208707721722474
Combiner;Empaquetador;MemberInputBuffer;Run;HoldingTime;TimeInStation;Maximum;0.0150451203018847
Combiner;Empaquetador;MemberInputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Combiner;Empaquetador;MemberInputBuffer;Run;Throughput;NumberEntered;Total;981
Combiner;Empaquetador;MemberInputBuffer;Run;Throughput;NumberExited;Total;981
Combiner;Empaquetador;OutputBuffer;Run;Throughput;NumberEntered;Total;140
Combiner;Empaquetador;OutputBuffer;Run;Throughput;NumberExited;Total;140
Combiner;Empaquetador;ParentInputBuffer;Run;Content;NumberInStation;Average;0.97653993635485
Combiner;Empaquetador;ParentInputBuffer;Run;Content;NumberInStation;Maximum;1
Combiner;Empaquetador;ParentInputBuffer;Run;Content;NumberInStation;Minimum;0
Combiner;Empaquetador;ParentInputBuffer;Run;HoldingTime;TimeInStation;Average;0.00725433211991621
Combiner;Empaquetador;ParentInputBuffer;Run;HoldingTime;TimeInStation;Maximum;0.0736643563189226
Combiner;Empaquetador;ParentInputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Combiner;Empaquetador;ParentInputBuffer;Run;Throughput;NumberEntered;Total;141
Combiner;Empaquetador;ParentInputBuffer;Run;Throughput;NumberExited;Total;140
Combiner;Empaquetador;Processing;Run;Content;NumberInStation;Average;0.0135352951266314
Combiner;Empaquetador;Processing;Run;Content;NumberInStation;Maximum;1
Combiner;Empaquetador;Processing;Run;Content;NumberInStation;Minimum;0
Combiner;Empaquetador;Processing;Run;Costs;CostPerItem;Average;0.0928134522969009
Combiner;Empaquetador;Processing;Run;Costs;CostPerItem;Maximum;0.116691828037601
Combiner;Empaquetador;Processing;Run;Costs;CostPerItem;Minimum;0.0714610563594231
Combiner;Empaquetador;Processing;Run;Costs;TotalCost;Total;12.9938833215661
Combiner;Empaquetador;Processing;Run;HoldingTime;TimeInStation;Average;0.00232033630742252
Combiner;Empaquetador;Processing;Run;HoldingTime;TimeInStation;Maximum;0.00291729570094001
Combiner;Empaquetador;Processing;Run;HoldingTime;TimeInStation;Minimum;0.00178652640898558
Combiner;Empaquetador;Processing;Run;Throughput;NumberEntered;Total;140
Combiner;Empaquetador;Processing;Run;Throughput;NumberExited;Total;140
